frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,604;605;457;458;602;561;467;244;562;256;261;246;259;257;258;558;556;250;559;557;252;238;526;525;524;469;471;30;599;470;533;537
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,600;521;552;459;553;603;466;465;560;157;255;156;528;253;155;154;50;375;462;463;251;395;9;11;8;527;387;564;567;532;598;24
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,601;489;488;456;437;554;497;563;428;429;249;13;366;530;531;374;391;41;383;236;460;14;461;549;386;468;452;453;441;534;536;538
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,490;140;520;18;17;16;496;361;248;247;260;529;613;406;399;407;152;390;367;245;159;239;10;12;394;0;454;566;3;535;442;474
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,136;522;491;141;436;555;464;254;360;262;64;164;610;398;611;359;358;166;382;162;439;237;160;548;550;1;413;412;565;475;539;473
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,134;138;36;523;498;499;339;83;405;397;263;165;340;330;544;153;167;364;438;243;163;158;161;34;551;351;455;572;443;440;35;27
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,37;71;343;143;148;86;328;84;396;319;309;308;341;331;373;612;365;380;389;242;581;588;589;278;350;47;7;519;182;472;23;506
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,135;137;139;145;146;144;329;404;318;352;593;177;596;590;240;241;356;357;388;381;299;348;269;268;379;2;516;517;573;504;403;505
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,133;283;147;142;392;338;369;377;63;592;178;179;597;321;311;591;372;45;53;580;288;349;431;430;54;279;402;518;183;214;215;507
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,393;55;333;115;342;401;81;353;384;425;59;60;310;433;320;545;344;514;289;298;208;227;228;280;423;378;210;411;211;187;511;185
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,73;332;368;119;400;82;335;424;376;385;42;448;449;38;547;56;345;409;512;513;417;416;229;209;421;510;508;509;569;212;213;184
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,125;123;121;117;325;324;334;609;608;606;450;585;188;190;189;432;546;408;32;515;265;275;495;420;422;224;500;346;568;220;219;186
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,128;127;126;74;120;116;114;171;607;170;584;273;427;426;205;168;204;197;233;264;15;31;493;492;180;225;414;487;410;221;217;218
frame13,13,32,1111_1111_1111_1111_1111_1111_1111_1111,124;129;292;122;172;118;305;315;173;435;169;576;451;200;206;52;481;198;234;235;274;231;75;175;181;226;415;5;222;223;216;25
frame14,14,32,1111_1111_1111_1111_1111_1111_1111_1111,103;105;109;322;323;304;314;327;272;191;295;193;58;92;201;582;207;199;176;595;174;494;194;232;484;230;502;542;501;543;26;28
frame15,15,32,1111_1111_1111_1111_1111_1111_1111_1111,97;101;149;106;46;132;326;337;192;371;434;284;577;57;202;131;480;49;594;579;363;130;113;574;112;575;111;486;94;93;541;540
frame16,16,26,0111_1011_0111_1111_1111_0101_1011_1111,95;107;110;108;78;336;370;294;62;317;307;583;482;44;483;578;419;362;587;571;485;503;151;150;446;444
frame17,17,26,0111_1110_1110_1111_1111_1111_1100_1101,99;102;96;104;293;90;312;313;285;48;203;306;291;297;287;354;355;271;195;281;196;347;570;20;447;445
frame18,18,24,0111_1100_0111_1111_1110_0111_1001_1111,67;98;100;88;89;65;80;40;61;66;68;300;301;91;286;418;270;586;4;29;478;479;476;477
frame19,19,26,1111_1100_1001_1111_1111_0011_1111_1111,87;69;77;282;85;76;79;303;316;70;290;302;72;296;43;39;266;276;267;33;277;6;22;19;21;51
