frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,428:397
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,396:365
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,364:333
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,332:301
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,300:269
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,268:237
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,236:205
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,204:173
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,172:141
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,140:109
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,108:77
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,76:45
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,44:13
frame13,13,13,1111_1111_1111_1000_0000_0000_0000_0000,12:0
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
