Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,36
design__inferred_latch__count,0
design__instance__count,144
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 1117.2 1176.0
design__core__bbox,2.4 5.6 1114.8 1170.4
design__io,747
design__die__area,1.31383E+6
design__core__area,1.29572E+6
design__instance__area,1.31383E+6
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,144
design__instance__area__macros,1.31383E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,1.01397
design__instance__utilization__stdcell,0
design__rows,832
design__rows:core7,832
design__sites,4627584
design__sites:core7,4627584
design__instance__count__class:macro,144
design__instance__area__class:macro,1.31383E+6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,9
flow__warnings__count:ORD-0032,1
flow__warnings__count:ORD-2011,9
flow__warnings__count:STA-0366,2
flow__warnings__count:STA-0419,1
flow__warnings__count:STA-0450,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
global_route__vias,0
global_route__wirelength,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,0
