tile	round	strategy	die_w	die_h	die_area	core_usage	dp_util	cell_area	dr_iters	dr_min	dr_final	drc_count	verdict
LUT4x8_ha	r1	AREA-5	82.6	84.0	6938.4	0.9274	0.9785	5817.0	3	0	0	0	pass
RegFile	r1	AREA-6	95.8	84.0	8047.2	0.8511	0.8977	6235.0	7	0	0	0	pass
MACC	r1	AREA-6	75.8	168.0	12734.4	0.8488	0.8808	9983.0	2	0	0	0	pass
W_IO	r1	DELAY-4	19.2	84.0	1612.8	0.8426	0.9345	1022.0	9	679	1562	230	FAIL
E_IO	r1	DELAY-4	21.4	84.0	1797.6	0.8491	0.9334	1179.0	3	0	0	0	pass
N_IO	r1	DELAY-4	82.6	19.6	1619.0	0.8443	1.0504	1022.0	0	-	-	-	FAIL
S_IO	r1	DELAY-4	82.6	30.8	2544.1	0.518	-	1083.0	2	0	0	0	pass
NW_term	r1	DELAY-4	19.2	19.6	376.3	0.628	0.8203	147.0	1	0	0	0	pass
NE_term	r1	DELAY-4	21.4	19.6	419.4	0.4329	0.5606	116.0	1	0	0	0	pass
SW_term	r1	AREA-4	19.2	30.8	591.4	0.8558	1.0229	346.0	0	-	-	-	FAIL
SE_term	r1	DELAY-4	21.4	30.8	659.1	0.3176	-	147.0	1	0	0	0	pass
N_term_RegFile	r1	DELAY-4	95.8	19.6	1877.7	0.0821	-	116.0	1	0	0	0	pass
S_term_RegFile	r1	DELAY-4	95.8	30.8	2950.6	0.0729	-	178.0	1	0	0	0	pass
N_term_MACC	r1	DELAY-4	75.8	19.6	1485.7	0.1049	-	116.0	2	0	0	0	pass
S_term_MACC	r1	DELAY-4	75.8	30.8	2334.6	0.0937	-	179.0	1	0	0	0	pass
MACC	r2	AREA-6	70.8	168.0	11894.4	0.9124	0.9481	9983.0	3	0	0	0	pass
W_IO	r2	DELAY-4	28.8	84.0	2419.2	0.5164	-	1022.0	2	0	0	0	pass
N_IO	r2	DELAY-4	82.6	22.4	1850.2	0.7144	0.8594	1022.0	1	0	0	0	pass
S_IO	r2	DELAY-4	82.6	22.4	1850.2	0.7571	0.9107	1083.0	2	0	0	0	pass
NW_term	r2	DELAY-4	28.8	22.4	645.1	0.3257	-	147.0	1	0	0	0	pass
NE_term	r2	DELAY-4	21.4	22.4	479.4	0.3663	-	116.0	1	0	0	0	pass
SW_term	r2	AREA-4	28.8	22.4	645.1	0.7666	0.9433	346.0	1	0	0	0	pass
SE_term	r2	DELAY-4	21.4	22.4	479.4	0.4642	0.5814	147.0	1	0	0	0	pass
N_term_RegFile	r2	DELAY-4	95.8	22.4	2145.9	0.0694	-	116.0	1	0	0	0	pass
S_term_RegFile	r2	DELAY-4	95.8	22.4	2145.9	0.1065	-	178.0	1	0	0	0	pass
N_term_MACC	r2	DELAY-4	70.8	22.4	1585.9	0.0954	-	116.0	2	0	0	0	pass
S_term_MACC	r2	DELAY-4	70.8	22.4	1585.9	0.1472	-	179.0	1	0	0	0	pass
NW_term	r3	DELAY-4	28.8	22.4	645.1	0.3257	-	147.0	1	0	0	0	pass
NE_term	r3	DELAY-4	21.4	22.4	479.4	0.3663	-	116.0	1	0	0	0	pass
SW_term	r3	DELAY-4	28.8	22.4	645.1	0.7688	0.946	347.0	2	0	0	0	pass
SE_term	r3	DELAY-4	21.4	22.4	479.4	0.4642	0.5814	147.0	1	0	0	0	pass
N_term_RegFile	r3	DELAY-4	95.8	22.4	2145.9	0.0694	-	116.0	1	0	0	0	pass
S_term_RegFile	r3	DELAY-4	95.8	22.4	2145.9	0.1065	-	178.0	2	0	0	0	pass
N_term_MACC	r3	DELAY-4	70.8	22.4	1585.9	0.0954	-	116.0	2	0	0	0	pass
S_term_MACC	r3	DELAY-4	70.8	22.4	1585.9	0.1472	-	179.0	1	0	0	0	pass
