frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,613:582
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,581:550
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,549:518
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,517:486
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,485:454
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,453:422
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,421:390
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,389:358
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,357:326
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,325:294
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,293:262
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,261:230
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,229:198
frame13,13,32,1111_1111_1111_1111_1111_1111_1111_1111,197:166
frame14,14,32,1111_1111_1111_1111_1111_1111_1111_1111,165:134
frame15,15,32,1111_1111_1111_1111_1111_1111_1111_1111,133:102
frame16,16,32,1111_1111_1111_1111_1111_1111_1111_1111,101:70
frame17,17,32,1111_1111_1111_1111_1111_1111_1111_1111,69:38
frame18,18,32,1111_1111_1111_1111_1111_1111_1111_1111,37:6
frame19,19,6,1111_1100_0000_0000_0000_0000_0000_0000,5:0
